solution,trade_group,trade_id,trial_id,entry_text,effective_date,maturity_date,tenor_years,pay_leg_notional,pay_leg_ccy,pay_leg_freq_months,pay_leg_basis,pay_leg_float_index,pay_leg_float_spread_bp,pay_leg_fixed_rate_pct,rec_leg_notional,rec_leg_ccy,rec_leg_freq_months,rec_leg_basis,rec_leg_float_index,rec_leg_float_spread_bp,rec_leg_fixed_rate_pct
ExpectedResults,Preview,1,0,Sell 10y SOFR swap at 3.45%,,,10,,,,,,,3.45,,,,,SOFR,,
ExpectedResults,Preview,2,0,"Notional: 10m
Client pays: 6M Term SOFR, semi-annual, act/360
Client receives: 3.45%, semi-annual, 30/360
Start date: 10 November 2009
Tenor: 5y",11/10/2009,,5,10000000,,6,act/360,6M Term SOFR,,,10000000,,6,30/360,,,3.45
ExpectedResults,Preview,3,0,"USDEUR cross currency swap (fixed/fixed), 10 y maturity
Client pays 2.3% USD, we pay 1.7% EUR",,10,,,EUR,,,,,1.7,,USD,,,,,2.3
ExpectedResults,Preview,4,0,"EURUSD cross currency swap (fix fix) with 5y tenor where client pays EUR 6% coupon, receives USD 7.5%
Both legs are semiannual and 30/360",,5,,,USD,6,30/360,,,7.5,,EUR,6,30/360,,,6
ExpectedResults,Preview,5,0,"I have trade details
Profile: USD Interest rate swap
Tenor: 10 years, both legs quarterly
We pay USD fixed 3.35%, client pays SOFR",,10,,,USD,3,,,,3.35,,,3,,SOFR,,
ExpectedResults,Preview,6,0,"Sell SOFR swap at three point five percent, maturity November 18, 2027",11/18/2027,,,,,,,,,3.5,,,,,SOFR,,
ExpectedResults,Preview,7,0,"SOFR swap, we receive fixed, 10y tenor starting on Nov 19, 2024",11/19/2027,10,,,,,,SOFR,,,,,,,,,
ExpectedResults,Preview,8,0,"Vanilla swap at 2.90%, we pay fixed, 10y maturity",,10,,,,,,,,2.9,,,,,,,
ExpectedResults,Preview,9,0,"We receive 3.5 on 10-year swap, will pay SOFR plus twenty basis points, effective November 18, 2024",11/18/2027,10,,,,,,SOFR,20,,,,,,,,3.5
ExpectedResults,Preview,10,0,"Executed trade receiving 4.50% fixed vs 1-month SOFR on $100mm notional, 2-year tenor, starting December 20th, 2023",12/20/2023,2,100000000,,,,,1-month SOFR,,,100000000,,,,,,4.5
ExpectedResults,Preview,11,0,"Paying USD, receiving JPY, 2-year tenor, plus 32bps spread, ¥5bn notional",,2,5000000000,,USD,,,,32,,5000000000,JPY,,,,,
ExpectedResults,Preview,12,0,"Executed 2-year basis swap
Paying EUR, receiving USD plus 85 basis points
100mm notional",,2,100000000,,EUR,,,,,,100000000,USD,,,,85,
